,City,Cloudiness,Nation,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
117,surt,50,LY,1618846560,61,31.2089,16.5887,63.39,14.99
118,omagari,30,JP,1618846561,89,39.45,140.4833,47.84,5.48
119,beloha,0,MG,1618846561,72,-25.1667,45.05,69.39,15.23
120,juigalpa,40,NI,1618846268,62,12.1063,-85.3645,87.8,4.61
121,ambilobe,20,MG,1618846562,76,-13.2,49.05,76.23,5.14
122,hobart,90,AU,1618846227,58,-42.8794,147.3294,60.01,4.61
123,salalah,40,OM,1618846396,74,17.0151,54.0924,84.2,6.91
124,tasiilaq,20,GL,1618846562,50,65.6145,-37.6368,26.6,5.75
125,faanui,10,PF,1618846563,71,-16.4833,-151.75,82.09,13.04
126,esna,0,EG,1618846563,12,25.2934,32.554,105.8,6.91
127,mandera,99,KE,1618846420,61,3.9366,41.867,83.5,10.63
128,richards bay,100,ZA,1618846563,59,46.8361,-95.9123,30.0,11.01
129,dombarovskiy,100,RU,1618846564,39,50.7587,59.5386,36.45,18.95
130,victoria,89,SC,1618846308,76,22.2855,114.1577,73.0,1.01
131,vostok,76,RU,1618846383,86,46.4856,135.8833,36.86,13.67
132,mayumba,100,GA,1618846564,85,-3.432,10.6554,78.51,7.87
133,bengkulu,100,ID,1618846224,85,-3.8004,102.2655,76.95,4.07
134,port lincoln,100,AU,1618846312,77,-7.0349,29.7638,74.75,3.31
135,cayenne,90,GF,1618846337,94,4.9333,-52.3333,82.0,1.14
136,kahului,1,US,1618846565,100,20.8947,-156.47,66.0,6.91
137,nome,90,US,1618846395,86,64.5011,-165.4064,32.0,7.45
138,bambous virieux,75,MU,1618846565,83,-20.2567,57.4061,80.6,8.05
139,san andres,13,CO,1618846558,12,13.3034,-4.8956,105.8,6.42
140,speightstown,40,BB,1618846566,51,13.25,-59.65,86.0,23.02
141,turayf,0,SA,1618846566,18,31.6725,38.6637,91.4,4.61
142,san policarpo,13,PH,1618846318,12,13.3034,-4.8956,105.8,6.42
143,san-pedro,100,CI,1618846566,68,4.7485,-6.6363,84.49,7.94
144,sunrise manor,20,US,1618846561,66,26.1577,-80.2861,89.01,12.66
145,kieta,96,PG,1618846567,86,-6.2167,155.6333,79.05,4.07
146,havre-saint-pierre,90,CA,1618846567,81,50.2334,-63.5986,48.2,12.66
147,kifri,100,IQ,1618846567,21,34.6959,44.9661,86.4,12.26
148,bauru,75,BR,1618846568,61,-22.3147,-49.0606,77.0,9.22
149,esil,39,KZ,1618846568,42,51.9556,66.4042,29.95,16.84
150,esperance,75,AU,1618846457,94,-33.8667,121.9,55.4,3.44
151,koulamoutou,40,GA,1618846628,65,-1.1303,12.4736,84.2,2.33
152,meulaboh,100,ID,1618846629,85,4.1363,96.1285,76.35,5.79
153,sault sainte marie,0,CA,1618846629,30,44.091,5.4089,66.2,12.66
154,mehamn,0,NO,1618846629,60,71.0357,27.8492,41.0,9.22
